id_series,seriesName
416,The Damned Hunger Chronicles 
417,Kay
418,Manwhore 
419,The Kissing Booth 
420,Breathless 
421,Mikael 
422,New Grub Street
423,Limits of Destiny 
424,Gormenghast 
425,Yu Yu Hakusho 
426,Call Me By Your Name 
427,Emi Lost 
428,Strvinarska uteha 
429,Anybodies 
430,The Wars of Light and Shadow 
431,The Sacketts 
432,McNulty Family
433,Redemption 
434,World War II Liberation Trilogy 
435,Five Children 
436,The Lymond Chronicles 
437,Landmarks of World Literature
438,Tales from Alcatraz 
439,Leigh Botts 
440,The Legend of Drizzt 
441,Trilogy of Desire 
442,Empire 
443,Doppelganger 
444,Conan the Cimmerian 
445,Korre 
446,Goddess Summoning 
447,Brewster Place 
448,Enchanted Forest Chronicles 
449,Der Augensammler 
450,Girl Genius Novels 
451,Supers of Noble
452,The Homelanders 
453,Joe Ledger 
454,The Hollows 
455,Dark Ink Chronicles 
456,Denazen 
457,Cut 
458,The Pendragon Cycle 
459,Causal Enchantment 
460,Besnilo 
461,Daughters of Zeus 
462,Lowcountry Tales 
463,Roads 
464,School of Fear 
465,Creepy Hollow 
466,The Andrades 
467,Mind Games 
468,The Blackstone Affair 
469,Shades of Love 
470,Kanin Chronicles 
471,Hellequin Chronicles 
472,Immortals After Dark 
473,Nancy Drew Mystery Stories 
474,Because You
475,Seraph of the End
476,The League
477,Harper Connelly 
478,Ravenspire 
479,Cradle 
480,Everland 
481,Imperial Radch 
482,Sherlock Holmes
483,Amos Decker 
484,Hornblower Saga
485,The Night Trilogy 
486,Demon Cycle 
487,Just Friends 
488,Portals to Whyland 
489,Slightly 
490,Morrie Morgan 
491,Inspector Rebus 
492,Rickey and G
493,Matthew Scudder 
494,Feather 
495,Inspector Lynley 
496,Margaret Thursday 
497,The Song of Albion 
498,Dean Koontz
499,Noughts and Crosses 
500,Lucifer Box 
501,Ivy 
502,Theodore Boone 
503,Cross My Heart 
504,Blue Bloods 
505,Fullmetal Alchemist 
506,InterWorld 
507,Marked 
508,Travis Chase 
509,Duluoz Legend
510,A Love Story 
511,Hidden Wings 
512,Zombie Apocalypse
513,Liliana Batchelor 
514,Escorted 
515,Kara Gillian 
516,Codex Draconis 
517,Enchant
518,Bloodmark Saga 
519,Paige Alder 
520,The Surrender Trilogy 
521,The Manhattanites 
522,The Supremes 
523,Captive Prince Short Stories 
524,The Keatyn Chronicles 
525,Ahriel 
526,Persefone 
527,Liliana 
528,Divergent 
529,Forgotten Legion Chronicles 
530,Big Rock 
531,Throne of Glass 
532,La Raza 
533,Devil
534,The Reckoners 
535,The Queens of Renthia 
536,Market of Monsters 
537,Gaunt
538,Grail Quest 
539,Shenandoah Sisters 
540,Pan Lodowego Ogrodu 
541,The Drenai Saga 
542,The MacKade Brothers 
543,Sandman Slim 
544,Pathfinder 
545,Graveyard Queen 
546,Bloom
547,Dead River Series 
548,Animal Healer 
549,Colters
550,Allie Beckstrom 
551,Johannes Angelos 
552,The First Law 
553,Rootless 
554,Summer 
555,Moorehawke Trilogy 
556,History of the Russian Revolution 
557,The Nightlife 
558,Madly 
559,The Books of Elsewhere 
560,The Devil
561,The Nightlife
562,Benedict
563,Anak
564,Caballo de Fuego 
565,The Lost Boys 
566,Chronicles of Brothers 
567,The Lotus Wars 
568,Danny Smi
569,Into the Deep 
570,The Tales of Dunk and Egg 
571,African Immortals 
572,Robot 
573,Spiritualisme Kritis
574,Magicae Mathematica 
575,Jolie Wilkins 
576,Southern Reach 
577,Harold Fry 
578,Wicca 
579,Infinite Love 
580,Vigilantes 
581,Cole Family Trilogy 
582,Forever Evermore 
583,Always 
584,Hagenheim 
585,The Gatekeepers 
586,Royally 
587,In the Company of Shadows 
588,Charlotte Holmes 
589,Track 
590,Vincent Ettrich 
591,Dread Nation 
592,Girls of Paper and Fire 
593,Truly Devious 
594,Old Man
595,Conan the Barbarian
596,John Barrowman Memoirs 
597,Rich Dad 
598,Le vide 
599,True to the Game 
600,Xanth 
601,The Dark Tower 
602,Paul Brenner 
603,Alcatraz Versus The Evil Librarians 
604,Joseph Stalin 
605,The Declaration 
606,The Obernewtyn Chronicles 
607,Myth Adventures 
608,Num
609,Vorkosigan Saga Publication Order
610,The Corescu Chronicles 
611,The Chronicles of Kale 
612,Matthew Henry
613,Kurt Wallander 
614,Kapellekensbaan 
615,Left Behind 
616,Peyton Place 
617,Chronicles of the Raven 
618,Fire Spirits 
619,The Agency 
620,Cheela 
621,Great Conversations
622,Sarah Agnes Prine 
623,The H.P. Lovecraft Omnibus 
624,Catwings 
625,Skinjacker 
626,Florence 
627,Mackenzies 
628,The Velesi Trilogy 
629,Say Amen 
630,Fighting for Love 
631,Star Wars Legends
632,Zombie Apocalypse 
633,John Lago Thriller 
634,Sense Thieves 
635,Legend
636,Grania O
637,Ring of Bright Water 
638,V is for Virgin 
639,The Naughtiest Girl 
640,Country Saga 
641,Pretty Little Liars 
642,Average Joe 
643,The Maddox Brothers 
644,The Devil Wears Prada 
645,The Bone Witch 
646,Penn Cage 
647,Lark Cove 
648,Jamison Valley 
649,Coda Books 
650,The Austen Project 
651,Trilogi Roro Mendut 
652,Aubrey 
653,Blandings Castle 
654,O Tempo e o Vento 
655,Merlin 
656,Dragon Jousters 
657,Diaries and Letters of Anne Morrow Lindbergh
658,Junie B. Jones 
659,Gilbert Selwyn and Friends 
660,Theodosia Throckmorton 
661,Lonesome Dove 
662,Romantic Suspense 
663,The Ratbridge Chronicles 
664,The Years of Lyndon Johnson 
665,Tempting SEALs 
666,Kate Stanley 
667,Riley Bloom 
668,The Raven Saga 
669,The Collected Works of Watchman Nee 
670,Barnen i Bullerbyn 
671,Princess 
672,Blacktop Cowboys 
673,Nightwatchers 
674,Sookie Stackhouse 
675,Hadassah 
676,Locke 
677,Le Sang des Promesses 
678,Creep 
679,Travelers 
680,Osho Insights for a new way of living 
681,The Moreno Brothers 
682,Mageborn 
683,Under Heaven 
684,Yellow Crocus 
685,Hercule Poirot 
686,Homestuck 
687,Guardians 
688,Chronicles of the Fallen 
689,Historical Crime Thriller 
690,Dalva 
691,Braddock
692,Tower of God 
693,Cycle des Dieux 
694,D.I. Kim Stone 
695,Agnes Browne 
696,Mat Joubert 
697,Rat Queens 
698,Winterkill 
699,Lacey Flint 
700,The Revelation 
701,Murder Most Unladylike Mystery 
702,Tracy Whitney 
703,Bill Hodges Trilogy 
704,Tensorate 
705,Daughter of the Pirate King 
706,Hendrik Groen 
707,Will Trent 
708,Love 
709,Jane Eyre Japanese Edition 
710,James Bond Original Series
711,New Game
712,Sign of Seven 
713,Red Sparrow Trilogy 
714,Valdemar
715,Season Series 
716,Tales of Alvin Maker 
717,C.W. Sughrue 
718,MacLean Curse 
719,Dinotopia
720,Crossroads Saga 
721,Moscow Trilogy 
722,The Little Engine That Could
723,The Mysteries of Nature Series 
724,Otherworld
725,Lucy Valentine 
726,Bone Delcourt noir et blanc
727,Naked
728,Young Bond 
729,The Avatar 
730,Blue Rose Trilogy 
731,Inn BoonsBoro Trilogy 
732,October Breezes 
733,The Dance Sequence 
734,Subjective Cosmology 
735,The Horn King 
736,Mackenzie Family 
737,Artefacts of Power 
738,Clifford the Big Red Dog
739,Tomorrows 
740,Strange Angels 
741,True Believers 
742,Supernatural Desire 
743,Amulet 
744,Gears of War 
745,Starcrossed 
746,Babymouse 
747,People of the Longhouse 
748,Embrace 
749,The Saga of Arturo Bandini 
750,Death Dwellers MC 
751,Consequences 
752,Makilien Trilogy 
753,Dante Valentine 
754,Tiger und B
755,The Testing 
756,The Great Indian Epics Retold
757,Aki e le Sfere del Tempo 
758,Tiny Pretty Things 
759,Lumikki Andersson 
760,Off
761,The Death Gate Cycle 
762,Saga Vanir 
763,Desecration 
764,The Faithful and the Fallen 
765,Green Creek 
766,Sydney Jones 
767,The Friend Zone 
768,Studies in the Sermon on the Mount 
769,Future History or 
770,The Kiesha
771,Lord John Grey 
772,The Rigante 
773,The Yara Silva Trilogy 
774,Malory
775,Darkness Chosen 
776,Yearbook Trilogy 
777,Crispin 
778,Promises 
779,Supernova Saga 
780,Thornhill Family 
781,Alien Huntress 
782,Classic Books with Holes
783,Special Forces 
784,The Children of Nox 
785,Diary of a Wimpy Kid
786,Carmina Nocturna 
787,"Tag, the Cat "
788,Morometii 
789,The Civil War Trilogy 
790,The Keepers Trilogy 
791,Vampire Academy 
792,Chrestomanci 
793,The Chronicles of Audy 
794,Feluda 
795,Batman
796,Shadow Falls 
797,Submerged Sun 
798,The Saga of Larten Crepsley 
799,Daredevil 
800,Jamie Baker 
801,Daniels Brothers 
802,Something Strange and Deadly 
803,Dork Diaries 
804,Wildwood Chronicles 
805,Ender
806,Lux 
807,The Russian Concubine 
808,Wayward Pines 
809,Everlife 
810,Lost Kings MC 
811,The Selection 
812,Lockwood 
813,Practical Magic 
814,The Start of Me and You 
815,Carve the Mark 
816,Das Verm
817,The Wild Robot 
818,A Good Girl
819,Front Lines 
820,ConSentiency Universe 
821,Jessica Darling 
822,Dreams of My Russian Summers 
823,God in Three Classic Scriptures
824,"Rich man, poor man"
825,Le Pacte des MarchOmbres 
826,Mortal Coils 
827,Braided Path 
828,The Montmaray Journals 
829,Drake Sisters 
830,Bernard Samson 
831,Barsoom 
832,The Origin Mystery 
833,Rhiannon
834,The Dagger and the Coin 
835,Emily Windsnap 
836,The Vampires of Vegas 
837,Le Cronache del Mondo Emerso 
838,Dante Walker 
839,The Chronicles of Koa 
840,The Legacy of the Gods 
841,Lies Beneath 
842,Endless Love 
843,El cuarto arcano 
844,Negeri Para Bedebah 
845,Danvers 
846,The Crossover 
847,Laksamana Sunan 
848,The Lemonade War 
849,McCabe Trilogy 
850,Shadows Inquiries 
851,Preacher 
852,Proxy 
853,Hyperversum Trilogy 
854,Wendy Darling 
855,Wereworld 
856,Dear America
857,Ravneringene 
858,Walker Papers 
859,Sweet 
860,Si Babi Hutan 
861,Giorgio Pellegrini 
862,Lightbringer 
863,Magic Shop 
864,Maggie O
865,Shadowmarch 
866,Marvels 
867,The Sword of Lyric 
868,Nero Corleone 
869,Secret 
870,Lives of the Early Christians in Rome 
871,A Fairy Tale Retold 
872,Mumintrollen 
873,Confectionately Yours 
874,Eden Trilogy 
875,The Shadow Society 
876,Eve 
877,Castle Waiting Omnibus Collection 
878,The Books of Magic 
879,Wishes 
880,The Plantagenet and Tudor Novels 
881,The Grimm Legacy 
882,Cape Refuge 
883,Father Brown 
884,Something Real 
885,Guitar Face 
886,The Enemy 
887,The Captive 
888,Countermeasure 
889,Baby
890,Kate and Jancsi 
891,The Dolphin Ring Cycle 
892,Oz 
893,The Ever Afters 
894,George 
895,Engelsfors 
896,The Chronicles of Kaya 
897,The Immortals 
898,The City 
899,Coughlin 
900,Bleeding Stars 
901,Fairwick Chronicles 
902,MurderTrending 
903,Matthew Corbett 
904,Monster Blood Tattoo 
905,Three Men 
906,The Chronicles of Amber 
907,Cynster 
908,Blood Coven Vampire 
909,Manifold 
910,Twilight
911,Bleach 
912,Alien Shores 
913,Doctrine of Labyrinths 
914,"Hyde, "
915,Wonderland Quartet 
916,Dragons in Our Midst 
917,Daughters of Arianne 
918,Lucas Davenport 
919,The Edge Chronicles
920,Silver Brumby 
921,Malazan Book of the Fallen 
922,Buffy the Vampire Slayer
923,Konrad Sejer 
924,Bloody Jack 
925,Maximum Ride
926,The Undertaken 
927,Paul 
928,The Abruzzo Cycle 
929,Homer Price 
930,Menagerie 
931,Glitch 
932,Filthy Beautiful Lies 
933,Touchstone 
934,The Dwellers 
935,Cycle des Anges 
936,A Tale of Magic 
937,Virals 
938,The Compound 
939,"Will Grayson, Will Grayson "
940,Snow Like Ashes 
941,Outlander Split
942,Embassy Row 
943,Nightrunner 
944,Chesapeake Bay Saga 
945,Farmer Brown
946,Kitty Norville 
947,Katie Parker Productions 
948,Crime Files 
949,The Demon
950,Thrillogy 
951,Dexter 
952,Jack Ryan Universe 
953,Lace 
954,A Song of Ice and Fire 
955,The Book of the New Sun 
956,Violet Eyes 
957,Camille 
958,Hana
959,Camel Club 
960,The Children of the Red King 
961,FunJungle 
962,Circle Trilogy 
963,The Vampire Diaries 
964,The Iron Fey 
965,The Fallen 
966,Dan and Elle 
967,Dragon Keeper 
968,Zombie Fallout 
969,The Vampire Diaries
970,Goddess War 
971,The Dark Elements 
972,Colonel Race 
973,Never Been 
974,P
975,Secrets of Shadow Hill 
976,Les Guerriers du silence 
977,The White Masai 
978,Damaged 
979,Mercy Thompson 
980,Black Lotus 
981,The Leveller 
982,Made Men 
983,The Traitor
984,Mystral Saga Deutsch
985,Kate Waters 
986,My Hero Academia 
987,Le Cycle de l
988,Heralds of Valdemar 
989,North American Confederacy 
990,The Legends of Camber of Culdi 
991,Betsy
992,Only 
993,C.J. Townsend 
994,Love at Stake 
995,Books of History Chronicles
996,DC Essential Editions
997,The Complete Stories 
998,"Hush, Hush "
999,Vampire Queen 
1000,Gifted 
1001,Fazendo meu filme 
1002,The Last Lion 
1003,Tintin
1004,de Piaget 
1005,The Ballantyne Legacy 
1006,Darkest London 
1007,Apple Lake Amish 
1008,Nashville Assassins 
1009,Angels 
1010,Vintner
1011,Osho Life Essentials
1012,North America
1013,Faking Normal 
1014,The Diaries of the Family Dracul 
1015,Starbirth 
1016,Wall and the Wing 
1017,The Ancient Future 
1018,The Chronos Files 
1019,Gaither Sisters 
1020,Letters to the Lost 
1021,La Passe
1022,DS Imogen Grey 
1023,Legends of the Guardian
1024,All Torn Up 
1025,Ber
1026,The Kiss Quotient 
1027,Joe Dillard 
1028,DragonKeeper Chronicles 
1029,Myst 
1030,Dream Trilogy 
1031,Vampire Knight 
1032,Ciclo Drenai chronological order
1033,Dirty Blood 
1034,Talent Chronicles 
1035,The Android
1036,Veritas Project 
1037,Avatar
1038,The Big Bad Wolf 
1039,Princess for Hire 
1040,Souvenirs d
1041,Dragon Age 
1042,Hitler Trilogy 
1043,"A.J. Raffles, The Gentleman Thief "
1044,Faeries of Dreamdark 
1045,At Tiffany
1046,Beau Rivage 
1047,Crown of Stars 
1048,The Staff and the Sword 
1049,The Crusades Trilogy 
1050,Elemental 
1051,Les Mis
1052,Books of Blood 
1053,Ruby Redfort 
1054,Deliver 
1055,If I Break 
1056,The Legend of ZERO 
1057,Thomas Kell 
1058,Miss Peregrine
1059,The Serve 
1060,At the Cupcake Caf
1061,The Wicked Years 
1062,The Berlin Novels 
1063,Wimpy Vampire 
1064,Superintendent Battle 
1065,Judge Me Not 
1066,Tales of an Extraordinary Girl 
1067,O
1068,Uncanny X
1069,Star Wars Legends Universe
1070,Deverry 
1071,Victorian Hearts 
1072,Songs of Submission 
1073,Lauren Holbrook 
1074,Mill River 
1075,Logan Harper 
1076,Experiment in Terror 
1077,Soul Screamers 
1078,The Taker Trilogy 
1079,The Artists Trilogy 
1080,Newsoul 
1081,The Rocker 
1082,The Rephaim 
1083,Edelstein
1084,New England Witch Chronicles 
1085,Millionaire
1086,Lobo 
1087,The Coincidence 
1088,Reign of Shadows 
1089,Schattentraum 
1090,DCI Tom Douglas 
1091,Nearly Boswell 
1092,Quincunx 
1093,Survivors 
1094,Dorothy Must Die 
1095,Hannah Swensen 
1096,Grey Land 
1097,Frostblood Saga 
1098,An Ember in the Ashes 
1099,The Royals 
1100,Amgash 
1101,The Cairo Trilogy 
1102,Shoe Addict 
1103,CHERUB 
1104,Pigeon
1105,Eyeshield 
1106,Graveminder 
1107,Betrayed The Brookehaven Vampires 
1108,Riftwar Cycle
1109,The Airel Saga
1110,The Devouring 
1111,Dark Secrets 
1112,Daddy
1113,Temeraire 
1114,J.P. Beaumont 
1115,Day by Day Armageddon 
1116,House of Night 
1117,Riverside Trilogy 
1118,Complete Nathan Zuckerman 
1119,Submissive 
1120,Sexual Education 
1121,Dear Diary 
1122,The Perfectionists 
1123,Harry Potter
1124,Memories of the Eagle and the Jaguar 
