,book_id,author_id
2417,34433755,7034280
2421,31351689,8545130
2423,30523827,4701504
2433,12853168,5050207
2478,350790,81096
2493,9368401,73754
2496,13059477,4927506
2502,350678,19971
2526,13843,8597
2527,1948904,145946
2528,710437,119830
2530,47916,26878
2534,229033,133908
2540,17774609,7041163
2559,18191815,7171528
2574,18071924,6949287
2580,93794,29085
2585,925,603
2586,24248,13635
2604,90574,52047
2624,592806,2614
2630,84544,4841825
2633,7970273,445303
2635,12363622,4605557
2655,18157092,7159360
2656,17673307,5997227
2658,256683,150038
2659,16176693,15560
2661,22855494,7151973
2681,6149219,103359
2682,18812737,7246093
2692,24235463,6446815
2694,17977415,7036526
2700,16150996,5131072
2702,13548075,4480131
2703,20559676,5437976
2736,4374400,295178
2740,7877549,800019
2741,20758105,370361
2742,7719355,2891665
2743,6589111,363405
2745,6087756,25422
2747,6641635,2830341
2749,6587387,40563
2752,7456034,63983
2753,6553352,8988
2755,7719248,548551
2756,7090447,15872
2757,6449378,415967
2758,5391115,7581
2761,7091370,4415
2762,6764886,4260
2763,6686092,1599723
2767,6527740,137902
2768,2392599,871368
2769,7995207,1383409
2771,7198988,200317
2775,6580510,2973783
2777,6431790,3780
2778,7631105,348878
2779,6556855,588558
2780,6393972,1318
2781,6801582,2096360
2784,7031834,21911
2785,4499214,190887
2787,6917952,17015
2788,7801229,125308
2789,7137775,274533
2791,6574102,56224
2794,7937462,941441
2795,6368610,175855
2796,6555517,1443712
2798,7179686,1628012
2802,7507951,5339
2803,7842288,2895706
2826,18102827,7141792
2829,13047090,4476934
2831,17340050,5430144
2834,16247792,4562483
2838,17333880,4872191
2842,17191012,4851199
2846,16150320,5784345
2851,13638570,4907787
2859,254262,148577
2875,28110852,945430
2883,529474,70750
2884,5451,3681
2886,403722,5411
2888,227652,14617
2891,266904,155829
2892,18116,3618
2893,9858488,47312
2898,41457,23356
2899,42447,5310
2900,77767,5300
2901,556136,96375
2904,12930,2493
2905,857528,37836
2906,65954,37202
2907,468116,1194868
2914,353342,10105
2915,222576,7308
2916,8293938,3449712
2917,11831,7540
2919,2479827,8349
2920,11841,106
2922,11824,7536
2926,837501,3093309
2929,39980,22414
2930,785453,61707
2931,11127,1069006
2936,105999,403
2938,139463,12696
2939,15595,9640
2942,337058,1949
2945,7784,61105
2946,4538,2713
2947,25346,4057
2951,368468,6846
2957,89763,1244538
2962,30119,435477
2970,34507,1654
2971,15050,9399
2972,47122,3472
2973,14250,3541
2977,47401,9432
2979,18749,11291
2980,9464733,2526
2982,312435,27600
2983,1629601,173491
2984,13928,8649
2985,219879,128607
2988,60926,29535
2990,531509,29527
2991,7767021,588356
2995,48328,27069
2997,5198,3534
3007,17728,16
3023,9328,2238
3029,49838,27341
3030,337048,73812
3036,89195,51204
3039,36162,1276004
3042,61903,16094
3046,41822,16667
3047,761154,25375
3052,505064,65471
3057,81992,8794
3058,99219,56
3060,317621,723256
3067,365672,34854
3068,61938,26
3069,427353,12980
3078,2334538,1048167
3080,35434,3231
3081,390711,6417
3082,234184,3441
3083,1828067,835348
3086,107291,3389
3090,15704307,24514
3092,96472,14078
3093,1414,947
3095,35231,6252
3097,1215032,108424
3100,769658,33503
3102,10664113,346732
3106,21484,9020
3109,19400,11628
3110,112292,55547
3111,10987,3617
3115,12505,3137322
3117,34440,19405
3119,190572,90845
3122,46087,1094283
3125,11901,7577
3126,647492,99126
3129,15836,9800
3140,112286,6225
3143,133782,77190
3144,1193177,580505
