id_prix,id_livre
421,33643994
421,27426036
422,22283878
423,25756328
424,32601841
425,17838528
425,24529123
425,23546634
425,25486998
425,25893582
425,25912358
426,1652357
427,25877663
428,50843
429,96334
429,5853
429,65285
429,18122
429,4268
430,15803037
431,40271
432,153612
433,144006
434,824204
434,325421
434,11301
434,11030772
434,775597
434,15746428
434,2998
434,5659
434,8337
434,776407
434,19321
435,103525
436,6681523
437,106125
438,11290708
439,19577
440,987756
441,156784
441,57043
441,112517
442,12648447
443,6763730
443,7741325
444,1408083
444,45110
445,11587338
446,11288619
446,14781201
446,10893214
446,11962848
446,12681103
446,12860772
446,12793708
447,12392681
448,157551
449,1320279
450,313277
451,27411345
451,27154427
451,26114463
451,18739426
452,41945163
453,349681
454,294817
455,8529230
455,6580510
456,6788533
457,28815371
458,353342
459,347698
459,63657
459,25584847
460,1797166
461,213206
462,7507920
463,14686
463,597790
463,40940649
464,698
464,212615
464,7039826
465,34605
466,13540215
466,18189462
467,18080500
467,16064811
468,343662
469,8050771
469,30051627
469,17733898
470,16074748
470,11984131
470,12107927
470,15768989
470,17722973
470,15703770
470,15801381
471,18635113
472,20613624
473,41818
474,32324555
474,33282947
474,33386034
474,26800718
474,31212082
474,30145666
474,32940857
474,33865643
474,29550388
475,1961314
476,34037113
477,37683751
477,32024902
477,21428094
477,38926487
477,40189670
477,35829237
478,30025336
478,31451267
478,30226723
478,31450852
478,30312891
478,32075662
478,23308087
478,23367261
478,30117284
478,24763621
478,29739361
479,35820633
479,30809786
479,25446343
479,34726469
479,31076583
479,36329818
479,34275232
479,36642458
479,34992929
479,27188596
479,29386918
480,26842622
481,26030734
481,25311520
481,28675749
481,29241321
481,26813380
481,27414384
482,18743370
482,22692740
482,26109391
482,22521951
482,18584855
483,348632
483,101285
483,93436
484,833060
485,135158
486,5841908
486,6407014
486,3389671
487,176755
488,268437
489,123557
490,5711749
490,5664985
491,1975322
491,119512
492,657371
492,5982447
492,6249550
492,3804289
492,44170
493,7389741
493,7863274
493,7417780
494,3235139
494,4313522
494,6251222
494,3684856
494,5960325
494,6224935
494,4836308
494,6135237
494,3222979
494,4601396
494,5802140
494,6224826
495,715428
496,2185736
497,12759057
497,24860071
497,15750610
497,16173349
498,8526694
498,11100788
498,8109709
499,4881647
499,1000171
499,6567050
500,7940589
501,5762055
502,240162
503,91487
504,149049
505,17566144
506,17448137
507,18263725
508,9962040
508,9794942
508,5957313
508,8533018
508,8701129
508,18693054
508,9645351
508,9269877
508,9640591
508,11735983
508,7304203
508,9284655
508,8712343
508,8150317
508,9464733
508,8182682
508,8087823
509,7776251
509,566328
510,5055737
511,3401640
511,3492020
512,1061557
513,2741766
513,18898739
513,1035021
513,5205697
513,6262365
513,5391115
513,5056084
513,5152478
513,3128411
513,6581511
513,6329547
513,16136599
514,25793186
515,18667945
516,28220826
516,22098550
517,167040
518,29467232
518,17333174
518,25776210
518,29008738
518,26863057
518,22062202
519,770614
519,47520
520,29567
521,601390
522,6670514
523,606250
523,120728
523,24703
524,768950
524,4532622
525,3818665
526,2138127
527,14504
528,15773951
528,13506310
528,12924261
528,17169024
528,13528381
529,62805
530,644009
531,3609537
531,6048530
532,7148256
532,10114213
532,7076074
532,8143073
532,6718608
532,49570871
533,6760780
533,6892626
533,332775
533,4499214
534,1238684
534,440520
535,10537195
535,10767466
535,8601702
535,10822174
535,9532901
535,11450360
536,323172
536,31352
536,233667
537,826852
537,8248
538,149418
539,1561628
539,396836
540,1111741
540,8541234
541,15757486
542,1146743
543,6900824
544,17210598
545,23512999
546,13083008
546,13542982
546,19288043
546,11367726
547,19256975
548,937106
549,36047860
550,60030
551,17402288
552,24612118
553,1525997
553,545981
553,1382538
553,49188
554,22195
555,210250
556,359581
556,382419
556,149267
557,363499
557,420733
557,19272774
557,110395
557,958521
557,206855
557,73095
557,238125
557,628139
558,348823
559,63742
560,492069
560,60510
561,9893331
561,10025305
562,4504870
562,2536134
563,11781
563,46917
563,411761
563,60403
564,4703427
564,459064
564,175983
564,55401
564,478951
564,8447255
564,345299
564,55398
564,938544
565,539904
566,12889342
567,112525
568,484670
569,12160934
569,12875258
569,13538873
569,13526165
569,9680114
570,13056868
571,15805442
572,6440051
573,6047138
573,8753176
574,19165476
574,9415946
575,766917
576,10535458
577,13642704
578,23202
579,41014989
580,15161
581,967294
582,44014779
582,39352771
582,41386643
582,42190572
582,39280558
582,36203664
582,44150974
583,56627
584,2696181
585,52373
585,737957
586,42505366
586,42121526
586,40367270
586,31373184
586,39863277
586,13541056
586,42771754
586,40381392
586,42201395
586,43204703
586,34992959
586,44017627
586,40024139
586,43822024
587,7306310
588,6290240
588,7049405
589,766955
589,770051
590,969566
591,35350
591,237120
591,2865
592,181440
592,26571
593,1829655
593,3873328
593,6369113
594,209693
594,64105
594,96977
594,85866
594,11573
594,60931
595,73574
596,6589111
596,6950688
596,6584188
596,7171876
596,6609549
597,5168689
598,299758
599,6839917
600,4135863
601,6760793
602,10965813
603,1162185
603,82434
604,16101121
604,18039963
604,15841863
604,16218778
604,15798364
604,16113737
604,15798797
605,1559509
606,10314376
607,17852690
607,22571275
608,373593
608,464260
609,17399338
609,10265010
610,41160292
611,35960060
612,4318
613,190999
614,96123
615,997897
616,867162
617,537107
617,43763
618,454095
619,94673
619,339187
620,90334
621,1470232
621,204479
622,10221138
623,13115556
624,13223523
624,13517402
